=== Run information ===

Scheme:       weka.classifiers.functions.LinearRegression -S 0 -R 1.0E-8 -num-decimal-places 4
Relation:     ring-separable-weka
Instances:    10000
Attributes:   3
              input1
              input2
              output
Test mode:    evaluate on training data

=== Classifier model (full training set) ===


Linear Regression Model

output =

      0.0169 * input1 +
      0.4798

Time taken to build model: 0.05 seconds

=== Predictions on training set ===

inst#,actual,predicted,error
578,0,0.481,0.481
579,1,0.469,-0.531
580,0,0.483,0.483
581,1,0.489,-0.511
582,1,0.485,-0.515
583,0,0.465,0.465
584,0,0.474,0.474
585,1,0.471,-0.529
586,0,0.474,0.474
587,1,0.485,-0.515
588,0,0.479,0.479
589,0,0.492,0.492
590,0,0.464,0.464
591,0,0.494,0.494
592,1,0.471,-0.529
593,1,0.485,-0.515
594,1,0.478,-0.522
595,0,0.47,0.47
596,0,0.481,0.481
597,0,0.494,0.494
598,0,0.466,0.466
599,1,0.482,-0.518
600,1,0.486,-0.514
601,1,0.487,-0.513
602,0,0.466,0.466
603,1,0.484,-0.516
604,1,0.469,-0.531
605,0,0.479,0.479
606,0,0.464,0.464
607,0,0.496,0.496
608,1,0.477,-0.523
609,1,0.468,-0.532
610,1,0.484,-0.516
611,0,0.496,0.496
612,1,0.484,-0.516
613,1,0.483,-0.517
614,0,0.488,0.488
615,1,0.481,-0.519
616,0,0.484,0.484
617,0,0.469,0.469
618,1,0.486,-0.514
619,1,0.49,-0.51
620,1,0.47,-0.53
621,1,0.484,-0.516
622,1,0.484,-0.516
623,0,0.492,0.492
624,0,0.465,0.465
625,0,0.479,0.479
626,1,0.481,-0.519
627,0,0.494,0.494
628,0,0.47,0.47
629,1,0.481,-0.519
630,0,0.486,0.486
631,1,0.486,-0.514
632,1,0.49,-0.51
633,1,0.477,-0.523
634,1,0.474,-0.526
635,0,0.466,0.466
636,0,0.469,0.469
637,0,0.49,0.49
638,0,0.467,0.467
639,0,0.485,0.485
640,0,0.465,0.465
641,1,0.478,-0.522
642,1,0.49,-0.51
643,0,0.486,0.486
644,1,0.49,-0.51
645,0,0.493,0.493
646,0,0.493,0.493
647,0,0.494,0.494
648,0,0.491,0.491
649,0,0.496,0.496
650,0,0.496,0.496
651,0,0.491,0.491
652,0,0.487,0.487
653,1,0.476,-0.524
654,1,0.482,-0.518
655,1,0.487,-0.513
656,1,0.475,-0.525
657,0,0.464,0.464
658,1,0.48,-0.52
659,1,0.472,-0.528
660,1,0.467,-0.533
661,0,0.494,0.494
662,0,0.478,0.478
663,1,0.48,-0.52
664,1,0.473,-0.527
665,0,0.467,0.467
666,1,0.469,-0.531
667,0,0.474,0.474
668,1,0.474,-0.526
669,0,0.494,0.494
670,1,0.477,-0.523
671,0,0.485,0.485
672,1,0.474,-0.526
673,1,0.482,-0.518
674,0,0.496,0.496
675,1,0.485,-0.515
676,1,0.479,-0.521
677,0,0.463,0.463
678,1,0.491,-0.509
679,0,0.472,0.472
680,1,0.489,-0.511
681,0,0.495,0.495
682,0,0.492,0.492
683,1,0.471,-0.529
684,0,0.464,0.464
685,0,0.487,0.487
686,1,0.483,-0.517
687,0,0.494,0.494
688,0,0.465,0.465
689,1,0.485,-0.515
690,1,0.474,-0.526
691,0,0.468,0.468
692,0,0.468,0.468
693,0,0.487,0.487
694,1,0.482,-0.518
695,0,0.466,0.466
696,0,0.478,0.478
697,1,0.487,-0.513
698,0,0.466,0.466
699,0,0.496,0.496
700,1,0.483,-0.517
701,0,0.489,0.489
702,1,0.478,-0.522
703,0,0.472,0.472
704,0,0.467,0.467
705,0,0.463,0.463
706,0,0.496,0.496
707,0,0.493,0.493
708,0,0.49,0.49
709,0,0.48,0.48
710,0,0.494,0.494
711,0,0.491,0.491
712,1,0.491,-0.509
713,1,0.487,-0.513
714,1,0.487,-0.513
715,0,0.493,0.493
716,0,0.47,0.47
717,0,0.486,0.486
718,0,0.497,0.497
719,1,0.471,-0.529
720,1,0.485,-0.515
721,1,0.467,-0.533
722,0,0.49,0.49
723,1,0.491,-0.509
724,0,0.477,0.477
725,0,0.472,0.472
726,0,0.465,0.465
727,1,0.486,-0.514
728,1,0.478,-0.522
729,1,0.476,-0.524
730,1,0.468,-0.532
731,0,0.493,0.493
732,0,0.463,0.463
733,0,0.466,0.466
734,1,0.491,-0.509
735,0,0.464,0.464
736,1,0.489,-0.511
737,1,0.486,-0.514
738,0,0.473,0.473
739,0,0.493,0.493
740,0,0.483,0.483
741,1,0.486,-0.514
742,1,0.474,-0.526
743,0,0.49,0.49
744,0,0.495,0.495
745,1,0.478,-0.522
746,1,0.489,-0.511
747,0,0.496,0.496
748,1,0.487,-0.513
749,1,0.485,-0.515
750,1,0.473,-0.527
751,0,0.491,0.491
752,1,0.467,-0.533
753,1,0.482,-0.518
754,0,0.47,0.47
755,1,0.475,-0.525
756,0,0.483,0.483
757,1,0.481,-0.519
758,0,0.464,0.464
759,0,0.483,0.483
760,1,0.473,-0.527
761,1,0.471,-0.529
762,0,0.467,0.467
763,1,0.487,-0.513
764,0,0.466,0.466
765,0,0.466,0.466
766,1,0.479,-0.521
767,0,0.465,0.465
768,0,0.494,0.494
769,0,0.493,0.493
770,1,0.486,-0.514
771,1,0.472,-0.528
772,0,0.469,0.469
773,1,0.485,-0.515
774,1,0.472,-0.528
775,1,0.49,-0.51
776,1,0.479,-0.521
777,0,0.495,0.495
778,0,0.465,0.465
779,0,0.486,0.486
780,1,0.48,-0.52
781,0,0.473,0.473
782,1,0.483,-0.517
783,1,0.482,-0.518
784,1,0.483,-0.517
785,1,0.468,-0.532
786,0,0.466,0.466
787,1,0.485,-0.515
788,0,0.492,0.492
789,0,0.469,0.469
790,0,0.484,0.484
791,0,0.496,0.496
792,0,0.479,0.479
793,1,0.485,-0.515
794,1,0.491,-0.509
795,0,0.486,0.486
796,1,0.474,-0.526
797,0,0.489,0.489
798,0,0.495,0.495
799,1,0.469,-0.531
800,0,0.467,0.467
801,0,0.466,0.466
802,0,0.465,0.465
803,0,0.464,0.464
804,0,0.495,0.495
805,0,0.496,0.496
806,0,0.466,0.466
807,0,0.496,0.496
808,0,0.494,0.494
809,0,0.487,0.487
810,1,0.488,-0.512
811,0,0.478,0.478
812,1,0.49,-0.51
813,0,0.478,0.478
814,1,0.481,-0.519
815,1,0.472,-0.528
816,0,0.482,0.482
817,0,0.492,0.492
818,0,0.465,0.465
819,0,0.495,0.495
820,0,0.495,0.495
821,0,0.464,0.464
822,0,0.492,0.492
823,0,0.496,0.496
824,1,0.477,-0.523
825,1,0.491,-0.509
826,0,0.464,0.464
827,1,0.478,-0.522
828,1,0.491,-0.509
829,0,0.463,0.463
830,1,0.478,-0.522
831,1,0.489,-0.511
832,0,0.493,0.493
833,0,0.482,0.482
834,1,0.488,-0.512
835,1,0.479,-0.521
836,0,0.466,0.466
837,0,0.476,0.476
838,0,0.473,0.473
839,1,0.48,-0.52
840,0,0.497,0.497
841,0,0.488,0.488
842,0,0.494,0.494
843,0,0.466,0.466
844,0,0.465,0.465
845,1,0.478,-0.522
846,0,0.493,0.493
847,0,0.492,0.492
848,0,0.482,0.482
849,1,0.472,-0.528
850,1,0.483,-0.517
851,0,0.492,0.492
852,0,0.493,0.493
853,1,0.49,-0.51
854,1,0.47,-0.53
855,1,0.491,-0.509
856,1,0.468,-0.532
857,0,0.47,0.47
858,0,0.465,0.465
859,0,0.467,0.467
860,0,0.496,0.496
861,0,0.474,0.474
862,0,0.495,0.495
863,1,0.483,-0.517
864,1,0.493,-0.507
865,0,0.488,0.488
866,0,0.47,0.47
867,1,0.47,-0.53
868,1,0.469,-0.531
869,0,0.496,0.496
870,0,0.493,0.493
871,1,0.472,-0.528
872,0,0.464,0.464
873,0,0.494,0.494
874,0,0.47,0.47
875,0,0.489,0.489
876,0,0.469,0.469
877,0,0.466,0.466
878,0,0.476,0.476
879,0,0.487,0.487
880,1,0.47,-0.53
881,0,0.466,0.466
882,1,0.488,-0.512
883,1,0.485,-0.515
884,1,0.483,-0.517
885,0,0.485,0.485
886,0,0.465,0.465
887,1,0.487,-0.513
888,0,0.495,0.495
889,0,0.494,0.494
890,1,0.475,-0.525
891,0,0.465,0.465
892,0,0.468,0.468
893,0,0.492,0.492
894,0,0.465,0.465
895,0,0.476,0.476
896,1,0.482,-0.518
897,1,0.483,-0.517
898,0,0.464,0.464
899,1,0.473,-0.527
900,0,0.468,0.468
901,0,0.472,0.472
902,0,0.468,0.468
903,0,0.481,0.481
904,1,0.475,-0.525
905,0,0.473,0.473
906,0,0.49,0.49
907,0,0.494,0.494
908,0,0.492,0.492
909,0,0.464,0.464
910,1,0.467,-0.533
911,1,0.471,-0.529
912,0,0.49,0.49
913,1,0.481,-0.519
914,1,0.476,-0.524
915,0,0.495,0.495
916,1,0.47,-0.53
917,0,0.473,0.473
918,1,0.47,-0.53
919,1,0.471,-0.529
920,0,0.47,0.47
921,0,0.467,0.467
922,1,0.473,-0.527
923,0,0.468,0.468
924,0,0.475,0.475
925,1,0.47,-0.53
926,0,0.466,0.466
927,0,0.469,0.469
928,1,0.487,-0.513
929,1,0.487,-0.513
930,1,0.468,-0.532
931,0,0.483,0.483
932,0,0.465,0.465
933,0,0.467,0.467
934,0,0.468,0.468
935,0,0.492,0.492
936,1,0.49,-0.51
937,0,0.494,0.494
938,1,0.473,-0.527
939,0,0.474,0.474
940,0,0.464,0.464
941,1,0.471,-0.529
942,1,0.471,-0.529
943,1,0.491,-0.509
944,0,0.485,0.485
945,0,0.472,0.472
946,0,0.495,0.495
947,0,0.493,0.493
948,1,0.479,-0.521
949,0,0.466,0.466
950,0,0.496,0.496
951,0,0.49,0.49
952,0,0.493,0.493
953,1,0.475,-0.525
954,0,0.486,0.486
955,1,0.484,-0.516
956,0,0.468,0.468
957,1,0.474,-0.526
958,1,0.48,-0.52
959,1,0.476,-0.524
960,0,0.471,0.471
961,1,0.476,-0.524
962,1,0.493,-0.507
963,0,0.474,0.474
964,0,0.492,0.492
965,0,0.484,0.484
966,0,0.474,0.474
967,0,0.494,0.494
968,0,0.482,0.482
969,1,0.47,-0.53
970,0,0.483,0.483
971,0,0.487,0.487
972,1,0.476,-0.524
973,0,0.496,0.496
974,1,0.48,-0.52
975,1,0.488,-0.512
976,1,0.488,-0.512
977,1,0.468,-0.532
978,1,0.472,-0.528
979,0,0.494,0.494
980,1,0.474,-0.526
981,0,0.468,0.468
982,1,0.477,-0.523
983,1,0.479,-0.521
984,1,0.482,-0.518
985,1,0.474,-0.526
986,0,0.494,0.494
987,1,0.476,-0.524
988,0,0.494,0.494
989,0,0.49,0.49
990,0,0.482,0.482
991,1,0.47,-0.53
992,1,0.475,-0.525
993,0,0.494,0.494
994,1,0.472,-0.528
995,1,0.483,-0.517
996,1,0.489,-0.511
997,0,0.491,0.491
998,0,0.484,0.484
999,1,0.484,-0.516
1000,0,0.492,0.492
1001,1,0.476,-0.524
1002,0,0.492,0.492
1003,1,0.481,-0.519
1004,0,0.492,0.492
1005,0,0.49,0.49
1006,1,0.484,-0.516
1007,0,0.494,0.494
1008,0,0.47,0.47
1009,1,0.477,-0.523
1010,0,0.463,0.463
1011,0,0.487,0.487
1012,1,0.484,-0.516
1013,1,0.479,-0.521
1014,1,0.49,-0.51
1015,1,0.489,-0.511
1016,1,0.483,-0.517
1017,1,0.489,-0.511
1018,1,0.466,-0.534
1019,1,0.488,-0.512
1020,0,0.469,0.469
1021,1,0.491,-0.509
1022,1,0.471,-0.529
1023,0,0.466,0.466
1024,1,0.479,-0.521
1025,1,0.477,-0.523
1026,1,0.477,-0.523
1027,0,0.466,0.466
1028,1,0.472,-0.528
1029,0,0.472,0.472
1030,0,0.482,0.482
1031,1,0.468,-0.532
1032,0,0.475,0.475
1033,1,0.488,-0.512
1034,0,0.484,0.484
1035,1,0.474,-0.526
1036,0,0.475,0.475
1037,1,0.492,-0.508
1038,0,0.467,0.467
1039,1,0.478,-0.522
1040,1,0.492,-0.508
1041,0,0.487,0.487
1042,0,0.484,0.484
1043,1,0.488,-0.512
1044,0,0.494,0.494
1045,1,0.471,-0.529
1046,1,0.473,-0.527
1047,0,0.488,0.488
1048,0,0.477,0.477
1049,1,0.472,-0.528
1050,1,0.477,-0.523
1051,0,0.469,0.469
1052,0,0.495,0.495
1053,1,0.482,-0.518
1054,1,0.468,-0.532
1055,0,0.483,0.483
1056,0,0.492,0.492
1057,0,0.491,0.491
1058,0,0.465,0.465
1059,1,0.486,-0.514
1060,0,0.492,0.492
1061,0,0.474,0.474
1062,0,0.494,0.494
1063,0,0.463,0.463
1064,0,0.49,0.49
1065,1,0.476,-0.524
1066,0,0.496,0.496
1067,0,0.493,0.493
1068,1,0.485,-0.515
1069,0,0.474,0.474
1070,1,0.469,-0.531
1071,1,0.478,-0.522
1072,1,0.491,-0.509
1073,1,0.488,-0.512
1074,0,0.482,0.482
1075,1,0.485,-0.515
1076,0,0.494,0.494
1077,0,0.496,0.496
1078,1,0.487,-0.513
1079,1,0.49,-0.51
1080,0,0.494,0.494
1081,0,0.485,0.485
1082,1,0.483,-0.517
1083,1,0.475,-0.525
