=== Run information ===

Scheme:       weka.classifiers.functions.LinearRegression -S 0 -R 1.0E-8 -num-decimal-places 4
Relation:     ring-merged-weka
Instances:    10000
Attributes:   3
              input1
              input2
              output
Test mode:    user supplied test set:  size unknown (reading incrementally)

=== Classifier model (full training set) ===


Linear Regression Model

output =

      0.0212 * input1 +
      0.4486

Time taken to build model: 0.02 seconds

=== Predictions on test set ===

inst#,actual,predicted,error
329,1,0.463,-0.537
330,1,0.462,-0.538
331,0,0.463,0.463
332,1,0.437,-0.563
333,0,0.455,0.455
334,1,0.449,-0.551
335,1,0.46,-0.54
336,1,0.455,-0.545
337,0,0.46,0.46
338,1,0.438,-0.562
339,0,0.43,0.43
340,0,0.441,0.441
341,1,0.454,-0.546
342,0,0.465,0.465
343,0,0.431,0.431
344,0,0.447,0.447
345,1,0.453,-0.547
346,0,0.431,0.431
347,1,0.451,-0.549
348,0,0.46,0.46
349,1,0.465,-0.535
350,0,0.461,0.461
351,0,0.449,0.449
352,0,0.468,0.468
353,0,0.464,0.464
354,1,0.45,-0.55
355,0,0.453,0.453
356,0,0.466,0.466
357,0,0.434,0.434
358,1,0.46,-0.54
359,1,0.452,-0.548
360,0,0.428,0.428
361,0,0.428,0.428
362,1,0.447,-0.553
363,1,0.456,-0.544
364,0,0.462,0.462
365,0,0.464,0.464
366,1,0.436,-0.564
367,1,0.456,-0.544
368,1,0.458,-0.542
369,0,0.441,0.441
370,1,0.46,-0.54
371,0,0.431,0.431
372,0,0.454,0.454
373,0,0.469,0.469
374,0,0.433,0.433
375,1,0.437,-0.563
376,1,0.456,-0.544
377,0,0.452,0.452
378,1,0.434,-0.566
379,0,0.429,0.429
380,1,0.441,-0.559
381,0,0.451,0.451
382,1,0.456,-0.544
383,0,0.459,0.459
384,1,0.442,-0.558
385,1,0.437,-0.563
386,0,0.469,0.469
387,1,0.441,-0.559
388,0,0.459,0.459
389,0,0.428,0.428
390,1,0.44,-0.56
391,0,0.448,0.448
392,0,0.465,0.465
393,1,0.442,-0.558
394,0,0.433,0.433
395,0,0.431,0.431
396,1,0.454,-0.546
397,1,0.455,-0.545
398,1,0.447,-0.553
399,1,0.454,-0.546
400,1,0.454,-0.546
401,1,0.453,-0.547
402,0,0.47,0.47
403,0,0.461,0.461
404,1,0.448,-0.552
405,0,0.47,0.47
406,1,0.448,-0.552
407,0,0.466,0.466
408,0,0.433,0.433
409,0,0.466,0.466
410,0,0.433,0.433
411,0,0.46,0.46
412,1,0.449,-0.551
413,1,0.439,-0.561
414,1,0.465,-0.535
415,1,0.462,-0.538
416,0,0.432,0.432
417,1,0.459,-0.541
418,0,0.463,0.463
419,0,0.429,0.429
420,1,0.444,-0.556
421,0,0.438,0.438
422,1,0.433,-0.567
423,1,0.458,-0.542
424,0,0.467,0.467
425,0,0.436,0.436
426,1,0.445,-0.555
427,1,0.434,-0.566
428,0,0.466,0.466
429,1,0.439,-0.561
430,1,0.448,-0.552
431,1,0.453,-0.547
432,0,0.441,0.441
433,0,0.436,0.436
434,1,0.46,-0.54
435,0,0.45,0.45
436,1,0.442,-0.558
437,0,0.43,0.43
438,0,0.438,0.438
439,0,0.443,0.443
440,0,0.448,0.448
441,0,0.464,0.464
442,1,0.454,-0.546
443,0,0.467,0.467
444,0,0.469,0.469
445,0,0.468,0.468
446,1,0.439,-0.561
447,1,0.458,-0.542
448,0,0.445,0.445
449,1,0.451,-0.549
450,0,0.465,0.465
451,0,0.432,0.432
452,1,0.445,-0.555
453,0,0.467,0.467
454,0,0.467,0.467
455,0,0.469,0.469
456,1,0.454,-0.546
457,0,0.428,0.428
458,1,0.443,-0.557
459,1,0.439,-0.561
460,0,0.434,0.434
461,1,0.462,-0.538
462,1,0.461,-0.539
463,0,0.469,0.469
464,0,0.429,0.429
465,1,0.455,-0.545
466,0,0.458,0.458
467,0,0.447,0.447
468,1,0.455,-0.545
469,1,0.44,-0.56
470,1,0.457,-0.543
471,0,0.428,0.428
472,1,0.455,-0.545
473,0,0.438,0.438
474,1,0.451,-0.549
475,0,0.429,0.429
476,0,0.455,0.455
477,0,0.453,0.453
478,1,0.455,-0.545
479,0,0.444,0.444
480,1,0.44,-0.56
481,0,0.469,0.469
482,0,0.441,0.441
483,0,0.44,0.44
484,1,0.457,-0.543
485,0,0.43,0.43
486,1,0.441,-0.559
487,1,0.44,-0.56
488,1,0.459,-0.541
489,1,0.437,-0.563
490,0,0.466,0.466
491,0,0.464,0.464
492,0,0.467,0.467
493,0,0.45,0.45
494,1,0.45,-0.55
495,1,0.456,-0.544
496,0,0.433,0.433
497,1,0.441,-0.559
498,0,0.43,0.43
499,1,0.439,-0.561
500,0,0.442,0.442
501,0,0.431,0.431
502,1,0.441,-0.559
503,0,0.461,0.461
504,1,0.451,-0.549
505,1,0.458,-0.542
506,1,0.454,-0.546
507,1,0.452,-0.548
508,1,0.46,-0.54
509,1,0.44,-0.56
510,0,0.452,0.452
511,1,0.462,-0.538
512,1,0.448,-0.552
513,0,0.446,0.446
514,1,0.453,-0.547
515,1,0.438,-0.562
516,0,0.462,0.462
517,1,0.438,-0.562
518,0,0.448,0.448
519,0,0.432,0.432
520,1,0.461,-0.539
521,0,0.446,0.446
522,0,0.448,0.448
523,1,0.433,-0.567
524,1,0.441,-0.559
525,1,0.443,-0.557
526,1,0.444,-0.556
527,1,0.446,-0.554
528,0,0.468,0.468
529,0,0.435,0.435
530,0,0.467,0.467
531,1,0.448,-0.552
532,0,0.467,0.467
533,1,0.45,-0.55
534,0,0.463,0.463
535,0,0.429,0.429
536,1,0.457,-0.543
537,1,0.442,-0.558
538,0,0.429,0.429
539,1,0.45,-0.55
540,0,0.432,0.432
541,0,0.447,0.447
542,0,0.464,0.464
543,1,0.44,-0.56
544,0,0.467,0.467
545,0,0.428,0.428
546,1,0.436,-0.564
547,1,0.452,-0.548
548,0,0.449,0.449
549,0,0.467,0.467
550,1,0.442,-0.558
551,1,0.443,-0.557
552,1,0.444,-0.556
553,1,0.442,-0.558
554,1,0.444,-0.556
555,0,0.431,0.431
556,0,0.435,0.435
557,1,0.438,-0.562
558,1,0.436,-0.564
559,1,0.449,-0.551
560,1,0.434,-0.566
561,0,0.463,0.463
562,1,0.445,-0.555
563,0,0.433,0.433
564,1,0.443,-0.557
565,0,0.461,0.461
566,0,0.459,0.459
567,0,0.434,0.434
568,0,0.442,0.442
569,0,0.467,0.467
570,1,0.46,-0.54
571,0,0.43,0.43
572,0,0.465,0.465
573,0,0.468,0.468
574,1,0.439,-0.561
575,1,0.461,-0.539
576,1,0.436,-0.564
577,1,0.448,-0.552
578,1,0.463,-0.537
579,0,0.435,0.435
580,0,0.429,0.429
581,1,0.454,-0.546
582,0,0.457,0.457
583,0,0.43,0.43
584,1,0.434,-0.566
585,1,0.433,-0.567
586,0,0.467,0.467
587,0,0.46,0.46
588,0,0.467,0.467
589,0,0.45,0.45
590,1,0.433,-0.567
591,1,0.444,-0.556
592,0,0.43,0.43
593,1,0.437,-0.563
594,1,0.461,-0.539
595,0,0.449,0.449
596,1,0.44,-0.56
597,1,0.438,-0.562
598,0,0.428,0.428
599,0,0.434,0.434
600,0,0.468,0.468
601,0,0.428,0.428
602,1,0.452,-0.548
603,0,0.433,0.433
604,1,0.45,-0.55
605,1,0.444,-0.556
606,1,0.44,-0.56
607,1,0.455,-0.545
608,0,0.431,0.431
609,0,0.466,0.466
610,1,0.439,-0.561
611,1,0.458,-0.542
612,1,0.449,-0.551
613,0,0.434,0.434
614,0,0.448,0.448
615,1,0.438,-0.562
616,0,0.428,0.428
617,1,0.459,-0.541
618,1,0.451,-0.549
619,1,0.454,-0.546
620,0,0.467,0.467
621,1,0.437,-0.563
622,1,0.44,-0.56
623,0,0.454,0.454
624,1,0.454,-0.546
625,0,0.463,0.463
626,0,0.466,0.466
627,1,0.435,-0.565
628,0,0.43,0.43
629,0,0.465,0.465
630,1,0.453,-0.547
631,0,0.466,0.466
632,1,0.461,-0.539
633,1,0.451,-0.549
634,0,0.466,0.466
635,1,0.459,-0.541
636,0,0.461,0.461
637,1,0.46,-0.54
638,1,0.444,-0.556
639,0,0.44,0.44
640,1,0.456,-0.544
641,0,0.435,0.435
642,1,0.457,-0.543
643,0,0.467,0.467
644,0,0.435,0.435
645,1,0.434,-0.566
646,0,0.43,0.43
647,0,0.448,0.448
648,1,0.458,-0.542
649,0,0.459,0.459
650,0,0.446,0.446
651,0,0.431,0.431
652,0,0.437,0.437
653,0,0.468,0.468
654,0,0.445,0.445
655,1,0.439,-0.561
656,0,0.439,0.439
657,0,0.467,0.467
658,0,0.431,0.431
659,0,0.436,0.436
660,1,0.443,-0.557
661,0,0.466,0.466
662,0,0.466,0.466
663,1,0.448,-0.552
664,0,0.447,0.447
665,1,0.451,-0.549
666,0,0.451,0.451
667,0,0.461,0.461
668,1,0.442,-0.558
669,0,0.441,0.441
670,0,0.466,0.466
671,1,0.438,-0.562
672,0,0.435,0.435
673,0,0.463,0.463
674,0,0.456,0.456
675,1,0.439,-0.561
676,0,0.463,0.463
677,0,0.468,0.468
678,1,0.443,-0.557
679,1,0.433,-0.567
680,1,0.462,-0.538
681,1,0.448,-0.552
682,1,0.447,-0.553
683,0,0.435,0.435
684,0,0.432,0.432
685,1,0.435,-0.565
686,1,0.435,-0.565
687,1,0.453,-0.547
688,1,0.44,-0.56
689,1,0.443,-0.557
690,0,0.467,0.467
691,1,0.436,-0.564
692,1,0.441,-0.559
693,0,0.463,0.463
694,1,0.454,-0.546
695,0,0.464,0.464
696,1,0.447,-0.553
697,0,0.464,0.464
698,1,0.439,-0.561
699,0,0.433,0.433
700,1,0.45,-0.55
701,1,0.447,-0.553
702,0,0.431,0.431
703,1,0.457,-0.543
704,1,0.461,-0.539
705,0,0.431,0.431
706,0,0.454,0.454
707,1,0.45,-0.55
708,0,0.429,0.429
709,1,0.44,-0.56
710,0,0.451,0.451
711,0,0.466,0.466
712,0,0.47,0.47
713,0,0.463,0.463
714,0,0.428,0.428
715,1,0.439,-0.561
716,1,0.457,-0.543
717,1,0.454,-0.546
718,0,0.452,0.452
719,1,0.443,-0.557
720,0,0.469,0.469
721,0,0.468,0.468
722,1,0.442,-0.558
723,0,0.451,0.451
724,1,0.465,-0.535
725,1,0.442,-0.558
726,1,0.462,-0.538
727,1,0.462,-0.538
728,1,0.462,-0.538
729,1,0.459,-0.541
730,0,0.464,0.464
731,0,0.432,0.432
732,0,0.452,0.452
733,0,0.466,0.466
734,1,0.441,-0.559
735,1,0.451,-0.549
736,1,0.46,-0.54
737,0,0.434,0.434
738,0,0.46,0.46
739,1,0.465,-0.535
740,1,0.455,-0.545
741,0,0.469,0.469
742,1,0.454,-0.546
743,1,0.45,-0.55
744,0,0.468,0.468
745,0,0.431,0.431
746,0,0.459,0.459
747,1,0.456,-0.544
748,1,0.455,-0.545
749,0,0.47,0.47
750,1,0.432,-0.568
751,1,0.444,-0.556
752,1,0.441,-0.559
753,1,0.433,-0.567
754,0,0.449,0.449
755,0,0.466,0.466
756,1,0.437,-0.563
757,0,0.432,0.432
758,1,0.454,-0.546
759,1,0.442,-0.558
760,0,0.469,0.469
761,1,0.438,-0.562
762,0,0.456,0.456
763,0,0.432,0.432
764,1,0.45,-0.55
765,1,0.457,-0.543
766,0,0.46,0.46
767,0,0.462,0.462
768,0,0.429,0.429
769,1,0.447,-0.553
770,0,0.434,0.434
771,1,0.457,-0.543
772,1,0.437,-0.563
773,0,0.45,0.45
774,0,0.449,0.449
775,1,0.458,-0.542
776,0,0.458,0.458
777,1,0.45,-0.55
778,0,0.432,0.432
779,0,0.463,0.463
780,0,0.431,0.431
781,0,0.437,0.437
782,0,0.443,0.443
783,1,0.441,-0.559
784,0,0.433,0.433
785,0,0.452,0.452
786,0,0.428,0.428
787,0,0.469,0.469
788,0,0.462,0.462
789,0,0.431,0.431
790,1,0.451,-0.549
791,0,0.441,0.441
792,0,0.434,0.434
793,0,0.467,0.467
794,0,0.442,0.442
795,1,0.437,-0.563
796,1,0.452,-0.548
797,1,0.454,-0.546
798,1,0.442,-0.558
799,1,0.441,-0.559
800,0,0.43,0.43
801,1,0.447,-0.553
802,0,0.459,0.459
803,1,0.462,-0.538
804,0,0.431,0.431
805,1,0.458,-0.542
806,1,0.461,-0.539
807,0,0.466,0.466
808,1,0.442,-0.558
809,0,0.462,0.462
810,0,0.437,0.437
811,1,0.449,-0.551
812,0,0.47,0.47
813,1,0.456,-0.544
814,1,0.456,-0.544
815,0,0.428,0.428
816,1,0.453,-0.547
817,0,0.431,0.431
818,1,0.448,-0.552
819,1,0.443,-0.557
820,0,0.43,0.43
821,1,0.457,-0.543
822,1,0.452,-0.548
823,1,0.457,-0.543
824,1,0.452,-0.548
825,1,0.434,-0.566
826,1,0.435,-0.565
827,1,0.458,-0.542
828,0,0.431,0.431
829,0,0.432,0.432
830,0,0.438,0.438
831,1,0.438,-0.562
832,1,0.445,-0.555
833,0,0.428,0.428
834,1,0.453,-0.547
835,0,0.428,0.428
836,0,0.466,0.466
837,0,0.451,0.451
838,0,0.461,0.461
839,0,0.436,0.436
840,0,0.456,0.456
841,0,0.447,0.447
842,0,0.465,0.465
843,1,0.458,-0.542
844,0,0.433,0.433
845,1,0.45,-0.55
846,0,0.467,0.467
847,0,0.449,0.449
848,0,0.428,0.428
849,0,0.468,0.468
850,0,0.469,0.469
851,0,0.469,0.469
852,1,0.436,-0.564
853,1,0.434,-0.566
854,0,0.447,0.447
855,1,0.452,-0.548
856,0,0.433,0.433
857,1,0.456,-0.544
858,1,0.432,-0.568
859,1,0.453,-0.547
860,1,0.449,-0.551
861,0,0.437,0.437
862,0,0.468,0.468
863,1,0.446,-0.554
864,1,0.45,-0.55
865,0,0.448,0.448
866,0,0.437,0.437
867,0,0.436,0.436
868,1,0.448,-0.552
869,0,0.466,0.466
870,1,0.444,-0.556
871,0,0.458,0.458
872,1,0.443,-0.557
873,1,0.462,-0.538
874,1,0.446,-0.554
875,0,0.437,0.437
876,1,0.464,-0.536
877,0,0.43,0.43
878,0,0.468,0.468
879,0,0.433,0.433
880,0,0.465,0.465
881,1,0.46,-0.54
882,1,0.462,-0.538
883,1,0.463,-0.537
884,0,0.43,0.43
885,0,0.462,0.462
886,0,0.428,0.428
887,0,0.43,0.43
888,1,0.446,-0.554
889,0,0.46,0.46
890,1,0.461,-0.539
891,1,0.45,-0.55
892,1,0.435,-0.565
893,0,0.464,0.464
894,0,0.428,0.428
895,0,0.435,0.435
896,1,0.453,-0.547
897,0,0.45,0.45
898,0,0.467,0.467
899,0,0.45,0.45
900,1,0.451,-0.549
901,0,0.427,0.427
902,1,0.447,-0.553
903,0,0.468,0.468
904,1,0.438,-0.562
905,1,0.442,-0.558
906,1,0.444,-0.556
907,1,0.448,-0.552
908,1,0.458,-0.542
909,1,0.437,-0.563
910,1,0.456,-0.544
911,0,0.466,0.466
912,0,0.445,0.445
913,1,0.442,-0.558
914,0,0.446,0.446
915,0,0.453,0.453
916,1,0.462,-0.538
917,0,0.458,0.458
918,1,0.443,-0.557
919,0,0.435,0.435
920,1,0.458,-0.542
921,0,0.43,0.43
922,0,0.468,0.468
923,0,0.428,0.428
924,1,0.435,-0.565
925,1,0.438,-0.562
926,1,0.439,-0.561
927,1,0.445,-0.555
928,1,0.435,-0.565
929,0,0.437,0.437
930,0,0.443,0.443
931,1,0.452,-0.548
932,0,0.437,0.437
933,1,0.433,-0.567
934,0,0.466,0.466
935,0,0.428,0.428
936,1,0.459,-0.541
937,0,0.448,0.448
938,0,0.463,0.463
939,1,0.457,-0.543
940,0,0.435,0.435
941,1,0.457,-0.543
942,1,0.444,-0.556
943,0,0.433,0.433
944,1,0.453,-0.547
945,1,0.451,-0.549
946,0,0.433,0.433
947,0,0.466,0.466
948,1,0.44,-0.56
949,0,0.467,0.467
950,1,0.441,-0.559
951,0,0.442,0.442
952,1,0.447,-0.553
953,1,0.437,-0.563
954,1,0.453,-0.547
955,0,0.439,0.439
956,0,0.47,0.47
957,1,0.454,-0.546
958,1,0.458,-0.542
959,0,0.445,0.445
960,0,0.468,0.468
961,1,0.456,-0.544
962,0,0.432,0.432
963,1,0.463,-0.537
964,1,0.45,-0.55
965,0,0.439,0.439
966,0,0.438,0.438
967,1,0.438,-0.562
968,1,0.446,-0.554
969,1,0.445,-0.555
970,1,0.459,-0.541
971,1,0.458,-0.542
972,0,0.433,0.433
973,1,0.451,-0.549
974,0,0.431,0.431
975,1,0.448,-0.552
976,0,0.451,0.451
977,0,0.462,0.462
978,0,0.447,0.447
979,1,0.448,-0.552
980,0,0.435,0.435
981,0,0.466,0.466
982,0,0.468,0.468
983,0,0.429,0.429
984,0,0.44,0.44
985,0,0.458,0.458
986,0,0.452,0.452
987,0,0.44,0.44
988,0,0.467,0.467
989,0,0.467,0.467
990,0,0.464,0.464
991,0,0.464,0.464
992,1,0.446,-0.554
993,0,0.461,0.461
994,0,0.465,0.465
995,1,0.451,-0.549
996,1,0.441,-0.559
997,0,0.444,0.444
998,0,0.429,0.429
999,1,0.457,-0.543
1000,0,0.445,0.445
1001,0,0.467,0.467
1002,1,0.44,-0.56
1003,0,0.46,0.46
1004,0,0.469,0.469
1005,1,0.461,-0.539
1006,1,0.444,-0.556
1007,1,0.446,-0.554
1008,1,0.439,-0.561
1009,0,0.468,0.468
1010,1,0.45,-0.55
1011,0,0.453,0.453
1012,1,0.449,-0.551
1013,0,0.452,0.452
1014,0,0.458,0.458
1015,1,0.435,-0.565
1016,0,0.464,0.464
1017,1,0.455,-0.545
1018,0,0.43,0.43
1019,0,0.433,0.433
1020,0,0.429,0.429
1021,0,0.445,0.445
1022,0,0.466,0.466
1023,1,0.443,-0.557
1024,0,0.463,0.463
1025,1,0.456,-0.544
1026,1,0.46,-0.54
1027,0,0.465,0.465
1028,1,0.454,-0.546
1029,1,0.461,-0.539
1030,0,0.433,0.433
1031,0,0.45,0.45
1032,1,0.459,-0.541
1033,1,0.456,-0.544
1034,1,0.443,-0.557
1035,0,0.438,0.438
1036,1,0.462,-0.538
1037,0,0.453,0.453
1038,0,0.431,0.431
1039,1,0.453,-0.547
1040,0,0.464,0.464
1041,0,0.431,0.431
1042,0,0.455,0.455
1043,0,0.446,0.446
1044,0,0.455,0.455
1045,1,0.46,-0.54
1046,0,0.468,0.468
1047,1,0.434,-0.566
1048,1,0.433,-0.567
1049,1,0.437,-0.563
1050,0,0.469,0.469
1051,0,0.431,0.431
1052,0,0.463,0.463
1053,0,0.46,0.46
1054,0,0.463,0.463
1055,0,0.428,0.428
1056,0,0.447,0.447
1057,1,0.458,-0.542
1058,0,0.432,0.432
1059,0,0.467,0.467
1060,0,0.429,0.429
1061,0,0.46,0.46
1062,1,0.461,-0.539
1063,1,0.452,-0.548
1064,1,0.459,-0.541
1065,0,0.433,0.433
1066,0,0.469,0.469
1067,1,0.454,-0.546
1068,0,0.436,0.436
1069,0,0.432,0.432
1070,1,0.461,-0.539
1071,0,0.464,0.464
1072,0,0.428,0.428
1073,0,0.442,0.442
1074,1,0.464,-0.536
1075,0,0.464,0.464
1076,0,0.433,0.433
1077,1,0.465,-0.535
1078,1,0.447,-0.553
1079,0,0.437,0.437
1080,0,0.467,0.467
1081,1,0.46,-0.54
