=== Run information ===

Scheme:       weka.classifiers.misc.InputMappedClassifier -I -trim -W weka.classifiers.functions.LibSVM -- -S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model / -seed 1
Relation:     ring-separable-weka-letters
Instances:    10000
Attributes:   3
              input1
              input2
              output
Test mode:    user supplied test set:  size unknown (reading incrementally)

=== Classifier model (full training set) ===

InputMappedClassifier:

LibSVM wrapper, original code by Yasser EL-Manzalawy (= WLSVM)
Attribute mappings:

Model attributes  	    Incoming attributes
------------------	    ----------------
(numeric) input1  	--> 1 (numeric) input1
(numeric) input2  	--> 2 (numeric) input2
(nominal) output  	--> 3 (nominal) output


Time taken to build model: 4.82 seconds

=== Predictions on test set ===

inst#,actual,predicted,error,prediction
111,2:B,2:B,,1
112,1:A,1:A,,1
113,1:A,1:A,,1
114,1:A,1:A,,1
115,2:B,2:B,,1
116,2:B,2:B,,1
117,1:A,1:A,,1
118,2:B,2:B,,1
119,2:B,2:B,,1
120,2:B,2:B,,1
121,1:A,1:A,,1
122,1:A,1:A,,1
123,2:B,2:B,,1
124,1:A,1:A,,1
125,2:B,2:B,,1
126,2:B,2:B,,1
127,1:A,1:A,,1
128,2:B,2:B,,1
129,1:A,1:A,,1
130,2:B,2:B,,1
131,2:B,2:B,,1
132,2:B,1:A,+,1
133,1:A,1:A,,1
134,1:A,2:B,+,1
135,1:A,1:A,,1
136,1:A,1:A,,1
137,2:B,2:B,,1
138,1:A,1:A,,1
139,1:A,1:A,,1
140,1:A,1:A,,1
141,2:B,2:B,,1
142,1:A,1:A,,1
143,1:A,2:B,+,1
144,2:B,2:B,,1
145,2:B,2:B,,1
146,1:A,1:A,,1
147,2:B,2:B,,1
148,1:A,1:A,,1
149,1:A,1:A,,1
150,1:A,1:A,,1
151,2:B,2:B,,1
152,2:B,2:B,,1
153,1:A,1:A,,1
154,1:A,1:A,,1
155,1:A,1:A,,1
156,1:A,1:A,,1
157,1:A,1:A,,1
158,2:B,2:B,,1
159,1:A,1:A,,1
160,2:B,2:B,,1
161,1:A,2:B,+,1
162,1:A,1:A,,1
163,2:B,2:B,,1
164,1:A,2:B,+,1
165,2:B,2:B,,1
166,2:B,2:B,,1
167,2:B,2:B,,1
168,1:A,1:A,,1
169,2:B,2:B,,1
170,2:B,2:B,,1
171,2:B,2:B,,1
172,1:A,1:A,,1
173,2:B,2:B,,1
174,2:B,2:B,,1
175,2:B,2:B,,1
176,1:A,1:A,,1
177,1:A,1:A,,1
178,1:A,1:A,,1
179,1:A,1:A,,1
180,1:A,1:A,,1
181,1:A,1:A,,1
182,2:B,2:B,,1
183,1:A,1:A,,1
184,1:A,1:A,,1
185,2:B,2:B,,1
186,1:A,1:A,,1
187,2:B,2:B,,1
188,1:A,1:A,,1
189,1:A,1:A,,1
190,1:A,1:A,,1
191,2:B,2:B,,1
192,1:A,1:A,,1
193,2:B,2:B,,1
194,2:B,2:B,,1
195,2:B,2:B,,1
196,1:A,1:A,,1
197,1:A,1:A,,1
198,1:A,1:A,,1
199,1:A,1:A,,1
200,1:A,1:A,,1
201,1:A,1:A,,1
202,2:B,2:B,,1
203,2:B,2:B,,1
204,2:B,2:B,,1
205,2:B,2:B,,1
206,2:B,2:B,,1
207,1:A,1:A,,1
208,2:B,2:B,,1
209,1:A,1:A,,1
210,1:A,1:A,,1
211,2:B,2:B,,1
212,2:B,2:B,,1
213,2:B,2:B,,1
214,2:B,2:B,,1
215,2:B,2:B,,1
216,2:B,2:B,,1
217,1:A,1:A,,1
218,1:A,1:A,,1
219,2:B,2:B,,1
220,1:A,1:A,,1
221,1:A,1:A,,1
222,2:B,2:B,,1
223,2:B,2:B,,1
224,1:A,1:A,,1
225,2:B,2:B,,1
226,2:B,2:B,,1
227,1:A,1:A,,1
228,2:B,2:B,,1
229,1:A,2:B,+,1
230,2:B,2:B,,1
231,1:A,1:A,,1
232,1:A,1:A,,1
233,2:B,2:B,,1
234,1:A,1:A,,1
235,1:A,1:A,,1
236,1:A,2:B,+,1
237,1:A,1:A,,1
238,1:A,1:A,,1
239,1:A,1:A,,1
240,1:A,1:A,,1
241,2:B,2:B,,1
242,1:A,1:A,,1
243,2:B,2:B,,1
244,1:A,1:A,,1
245,2:B,2:B,,1
246,1:A,1:A,,1
247,1:A,1:A,,1
248,2:B,2:B,,1
249,1:A,1:A,,1
250,1:A,1:A,,1
251,2:B,2:B,,1
252,2:B,2:B,,1
253,2:B,2:B,,1
254,1:A,1:A,,1
255,1:A,1:A,,1
256,1:A,1:A,,1
257,1:A,1:A,,1
258,2:B,2:B,,1
259,1:A,1:A,,1
260,1:A,1:A,,1
261,2:B,2:B,,1
262,2:B,2:B,,1
263,2:B,2:B,,1
264,2:B,2:B,,1
265,1:A,1:A,,1
266,1:A,1:A,,1
267,1:A,1:A,,1
268,1:A,1:A,,1
269,2:B,2:B,,1
270,1:A,2:B,+,1
271,1:A,1:A,,1
272,1:A,1:A,,1
273,1:A,1:A,,1
274,1:A,1:A,,1
275,2:B,2:B,,1
276,2:B,2:B,,1
277,2:B,2:B,,1
278,2:B,2:B,,1
279,1:A,1:A,,1
280,2:B,2:B,,1
281,2:B,2:B,,1
282,2:B,2:B,,1
283,2:B,2:B,,1
284,2:B,2:B,,1
285,1:A,1:A,,1
286,1:A,1:A,,1
287,1:A,1:A,,1
288,1:A,1:A,,1
289,1:A,1:A,,1
290,1:A,1:A,,1
291,1:A,1:A,,1
292,2:B,2:B,,1
293,2:B,2:B,,1
294,2:B,2:B,,1
295,2:B,2:B,,1
296,2:B,2:B,,1
297,2:B,2:B,,1
298,1:A,1:A,,1
299,2:B,2:B,,1
300,2:B,2:B,,1
301,2:B,2:B,,1
302,1:A,1:A,,1
303,1:A,1:A,,1
304,1:A,1:A,,1
305,1:A,1:A,,1
306,1:A,1:A,,1
307,2:B,2:B,,1
308,1:A,1:A,,1
309,2:B,2:B,,1
310,1:A,1:A,,1
311,2:B,2:B,,1
312,1:A,1:A,,1
313,1:A,1:A,,1
314,2:B,2:B,,1
315,2:B,2:B,,1
316,1:A,1:A,,1
317,2:B,2:B,,1
318,1:A,1:A,,1
319,1:A,1:A,,1
320,2:B,2:B,,1
321,1:A,1:A,,1
322,2:B,2:B,,1
323,2:B,2:B,,1
324,1:A,1:A,,1
325,2:B,2:B,,1
326,2:B,2:B,,1
327,2:B,2:B,,1
328,1:A,1:A,,1
329,2:B,2:B,,1
330,2:B,2:B,,1
331,1:A,1:A,,1
332,2:B,2:B,,1
333,1:A,1:A,,1
334,2:B,2:B,,1
335,2:B,2:B,,1
336,2:B,2:B,,1
337,1:A,1:A,,1
338,2:B,2:B,,1
339,1:A,1:A,,1
340,1:A,1:A,,1
341,2:B,2:B,,1
342,1:A,1:A,,1
343,1:A,1:A,,1
344,1:A,2:B,+,1
345,2:B,2:B,,1
346,1:A,1:A,,1
347,2:B,2:B,,1
348,1:A,1:A,,1
349,2:B,2:B,,1
350,1:A,1:A,,1
351,1:A,1:A,,1
352,1:A,1:A,,1
353,1:A,1:A,,1
354,2:B,2:B,,1
355,1:A,1:A,,1
356,1:A,1:A,,1
357,1:A,1:A,,1
358,2:B,2:B,,1
359,2:B,2:B,,1
360,1:A,1:A,,1
361,1:A,1:A,,1
362,2:B,2:B,,1
363,2:B,2:B,,1
364,1:A,1:A,,1
365,1:A,1:A,,1
366,2:B,2:B,,1
367,2:B,2:B,,1
368,2:B,2:B,,1
369,1:A,1:A,,1
370,2:B,2:B,,1
371,1:A,1:A,,1
372,1:A,1:A,,1
373,1:A,1:A,,1
374,1:A,1:A,,1
375,2:B,2:B,,1
376,2:B,2:B,,1
377,1:A,2:B,+,1
378,2:B,2:B,,1
379,1:A,1:A,,1
380,2:B,2:B,,1
381,1:A,1:A,,1
382,2:B,2:B,,1
383,1:A,1:A,,1
384,2:B,2:B,,1
385,2:B,2:B,,1
386,1:A,1:A,,1
387,2:B,2:B,,1
388,1:A,1:A,,1
389,1:A,1:A,,1
390,2:B,2:B,,1
391,1:A,2:B,+,1
392,1:A,1:A,,1
393,2:B,2:B,,1
394,1:A,1:A,,1
395,1:A,1:A,,1
396,2:B,2:B,,1
397,2:B,2:B,,1
398,2:B,2:B,,1
399,2:B,2:B,,1
400,2:B,2:B,,1
401,2:B,2:B,,1
402,1:A,1:A,,1
403,1:A,1:A,,1
404,2:B,2:B,,1
405,1:A,1:A,,1
406,2:B,2:B,,1
407,1:A,1:A,,1
408,1:A,1:A,,1
409,1:A,1:A,,1
410,1:A,1:A,,1
411,1:A,1:A,,1
412,2:B,2:B,,1
413,2:B,2:B,,1
414,2:B,1:A,+,1
415,2:B,2:B,,1
416,1:A,1:A,,1
417,2:B,2:B,,1
418,1:A,1:A,,1
419,1:A,1:A,,1
420,2:B,2:B,,1
421,1:A,1:A,,1
422,2:B,2:B,,1
423,2:B,2:B,,1
424,1:A,1:A,,1
425,1:A,1:A,,1
426,2:B,2:B,,1
427,2:B,2:B,,1
428,1:A,1:A,,1
429,2:B,2:B,,1
430,2:B,2:B,,1
431,2:B,2:B,,1
432,1:A,1:A,,1
433,1:A,1:A,,1
434,2:B,2:B,,1
435,1:A,2:B,+,1
436,2:B,2:B,,1
437,1:A,1:A,,1
438,1:A,1:A,,1
439,1:A,1:A,,1
440,1:A,2:B,+,1
441,1:A,1:A,,1
442,2:B,2:B,,1
443,1:A,1:A,,1
444,1:A,1:A,,1
445,1:A,1:A,,1
446,2:B,2:B,,1
447,2:B,2:B,,1
448,1:A,1:A,,1
449,2:B,2:B,,1
450,1:A,1:A,,1
451,1:A,1:A,,1
452,2:B,2:B,,1
453,1:A,1:A,,1
454,1:A,1:A,,1
455,1:A,1:A,,1
456,2:B,2:B,,1
457,1:A,1:A,,1
458,2:B,2:B,,1
459,2:B,2:B,,1
460,1:A,1:A,,1
461,2:B,2:B,,1
462,2:B,2:B,,1
463,1:A,1:A,,1
464,1:A,1:A,,1
465,2:B,2:B,,1
466,1:A,1:A,,1
467,1:A,2:B,+,1
468,2:B,2:B,,1
469,2:B,2:B,,1
470,2:B,2:B,,1
471,1:A,1:A,,1
472,2:B,2:B,,1
473,1:A,1:A,,1
474,2:B,2:B,,1
475,1:A,1:A,,1
476,1:A,1:A,,1
477,1:A,1:A,,1
478,2:B,2:B,,1
479,1:A,1:A,,1
480,2:B,2:B,,1
481,1:A,1:A,,1
482,1:A,1:A,,1
483,1:A,1:A,,1
484,2:B,2:B,,1
485,1:A,1:A,,1
486,2:B,2:B,,1
487,2:B,2:B,,1
488,2:B,2:B,,1
489,2:B,2:B,,1
490,1:A,1:A,,1
491,1:A,1:A,,1
492,1:A,1:A,,1
493,1:A,2:B,+,1
494,2:B,2:B,,1
495,2:B,2:B,,1
496,1:A,1:A,,1
497,2:B,2:B,,1
498,1:A,1:A,,1
499,2:B,2:B,,1
500,1:A,1:A,,1
501,1:A,1:A,,1
502,2:B,2:B,,1
503,1:A,1:A,,1
504,2:B,2:B,,1
505,2:B,2:B,,1
506,2:B,2:B,,1
507,2:B,2:B,,1
508,2:B,2:B,,1
509,2:B,2:B,,1
510,1:A,2:B,+,1
511,2:B,2:B,,1
512,2:B,2:B,,1
513,1:A,2:B,+,1
514,2:B,2:B,,1
515,2:B,2:B,,1
516,1:A,1:A,,1
517,2:B,2:B,,1
518,1:A,2:B,+,1
519,1:A,1:A,,1
520,2:B,2:B,,1
521,1:A,1:A,,1
522,1:A,2:B,+,1
523,2:B,2:B,,1
524,2:B,2:B,,1
525,2:B,2:B,,1
526,2:B,2:B,,1
527,2:B,2:B,,1
528,1:A,1:A,,1
529,1:A,1:A,,1
530,1:A,1:A,,1
531,2:B,2:B,,1
532,1:A,1:A,,1
533,2:B,2:B,,1
534,1:A,1:A,,1
535,1:A,1:A,,1
536,2:B,2:B,,1
537,2:B,2:B,,1
538,1:A,1:A,,1
539,2:B,2:B,,1
540,1:A,1:A,,1
541,1:A,2:B,+,1
542,1:A,1:A,,1
543,2:B,2:B,,1
544,1:A,1:A,,1
545,1:A,1:A,,1
546,2:B,2:B,,1
547,2:B,2:B,,1
548,1:A,1:A,,1
549,1:A,1:A,,1
550,2:B,2:B,,1
551,2:B,2:B,,1
552,2:B,2:B,,1
553,2:B,2:B,,1
554,2:B,2:B,,1
555,1:A,1:A,,1
556,1:A,1:A,,1
557,2:B,2:B,,1
558,2:B,2:B,,1
559,2:B,2:B,,1
560,2:B,2:B,,1
561,1:A,1:A,,1
562,2:B,2:B,,1
563,1:A,1:A,,1
564,2:B,2:B,,1
565,1:A,1:A,,1
566,1:A,1:A,,1
567,1:A,1:A,,1
568,1:A,1:A,,1
569,1:A,1:A,,1
570,2:B,2:B,,1
571,1:A,1:A,,1
572,1:A,1:A,,1
573,1:A,1:A,,1
574,2:B,2:B,,1
575,2:B,2:B,,1
576,2:B,2:B,,1
577,2:B,2:B,,1
578,2:B,2:B,,1
579,1:A,1:A,,1
580,1:A,1:A,,1
581,2:B,2:B,,1
582,1:A,1:A,,1
583,1:A,1:A,,1
584,2:B,2:B,,1
585,2:B,2:B,,1
586,1:A,1:A,,1
587,1:A,1:A,,1
588,1:A,1:A,,1
589,1:A,2:B,+,1
590,2:B,2:B,,1
591,2:B,2:B,,1
592,1:A,1:A,,1
593,2:B,2:B,,1
594,2:B,2:B,,1
595,1:A,2:B,+,1
596,2:B,2:B,,1
597,2:B,2:B,,1
598,1:A,1:A,,1
599,1:A,1:A,,1
600,1:A,1:A,,1
601,1:A,1:A,,1
602,2:B,2:B,,1
603,1:A,1:A,,1
604,2:B,2:B,,1
605,2:B,2:B,,1
606,2:B,2:B,,1
607,2:B,2:B,,1
608,1:A,1:A,,1
609,1:A,1:A,,1
610,2:B,2:B,,1
611,2:B,2:B,,1
612,2:B,2:B,,1
613,1:A,1:A,,1
614,1:A,1:A,,1
615,2:B,2:B,,1
616,1:A,1:A,,1
617,2:B,2:B,,1
618,2:B,2:B,,1
619,2:B,2:B,,1
620,1:A,1:A,,1
621,2:B,2:B,,1
622,2:B,2:B,,1
623,1:A,1:A,,1
624,2:B,2:B,,1
625,1:A,1:A,,1
626,1:A,1:A,,1
627,2:B,2:B,,1
628,1:A,1:A,,1
629,1:A,1:A,,1
630,2:B,2:B,,1
631,1:A,1:A,,1
632,2:B,2:B,,1
633,2:B,2:B,,1
634,1:A,1:A,,1
635,2:B,2:B,,1
636,1:A,1:A,,1
637,2:B,1:A,+,1
638,2:B,2:B,,1
639,1:A,1:A,,1
640,2:B,2:B,,1
641,1:A,1:A,,1
642,2:B,2:B,,1
643,1:A,1:A,,1
644,1:A,1:A,,1
645,2:B,2:B,,1
646,1:A,1:A,,1
647,1:A,2:B,+,1
648,2:B,2:B,,1
649,1:A,1:A,,1
650,1:A,1:A,,1
651,1:A,1:A,,1
652,1:A,1:A,,1
653,1:A,1:A,,1
654,1:A,1:A,,1
655,2:B,2:B,,1
656,1:A,1:A,,1
657,1:A,1:A,,1
658,1:A,1:A,,1
659,1:A,1:A,,1
660,2:B,2:B,,1
661,1:A,1:A,,1
662,1:A,1:A,,1
663,2:B,2:B,,1
664,1:A,1:A,,1
665,2:B,2:B,,1
666,1:A,2:B,+,1
667,1:A,1:A,,1
668,2:B,2:B,,1
669,1:A,1:A,,1
670,1:A,1:A,,1
671,2:B,2:B,,1
672,1:A,1:A,,1
673,1:A,1:A,,1
674,1:A,1:A,,1
675,2:B,2:B,,1
676,1:A,1:A,,1
677,1:A,1:A,,1
678,2:B,2:B,,1
679,2:B,2:B,,1
680,2:B,2:B,,1
681,2:B,2:B,,1
682,2:B,2:B,,1
683,1:A,1:A,,1
684,1:A,1:A,,1
685,2:B,2:B,,1
686,2:B,2:B,,1
687,2:B,2:B,,1
688,2:B,2:B,,1
689,2:B,2:B,,1
690,1:A,1:A,,1
691,2:B,2:B,,1
692,2:B,2:B,,1
693,1:A,1:A,,1
694,2:B,2:B,,1
695,1:A,1:A,,1
696,2:B,2:B,,1
697,1:A,1:A,,1
698,2:B,2:B,,1
699,1:A,1:A,,1
700,2:B,2:B,,1
701,2:B,2:B,,1
702,1:A,1:A,,1
703,2:B,2:B,,1
704,2:B,2:B,,1
705,1:A,1:A,,1
706,1:A,1:A,,1
707,2:B,2:B,,1
708,1:A,1:A,,1
709,2:B,2:B,,1
710,1:A,1:A,,1
711,1:A,1:A,,1
712,1:A,1:A,,1
713,1:A,1:A,,1
714,1:A,1:A,,1
715,2:B,2:B,,1
716,2:B,2:B,,1
717,2:B,2:B,,1
718,1:A,2:B,+,1
719,2:B,2:B,,1
720,1:A,1:A,,1
721,1:A,1:A,,1
722,2:B,2:B,,1
723,1:A,1:A,,1
724,2:B,2:B,,1
725,2:B,2:B,,1
726,2:B,2:B,,1
727,2:B,2:B,,1
728,2:B,2:B,,1
729,2:B,2:B,,1
730,1:A,1:A,,1
731,1:A,1:A,,1
732,1:A,1:A,,1
733,1:A,1:A,,1
734,2:B,2:B,,1
735,2:B,2:B,,1
736,2:B,2:B,,1
737,1:A,1:A,,1
738,1:A,1:A,,1
739,2:B,1:A,+,1
740,2:B,2:B,,1
741,1:A,1:A,,1
742,2:B,2:B,,1
743,2:B,2:B,,1
744,1:A,1:A,,1
745,1:A,1:A,,1
746,1:A,1:A,,1
747,2:B,2:B,,1
748,2:B,2:B,,1
749,1:A,1:A,,1
750,2:B,2:B,,1
751,2:B,2:B,,1
752,2:B,2:B,,1
753,2:B,1:A,+,1
754,1:A,2:B,+,1
755,1:A,1:A,,1
756,2:B,2:B,,1
757,1:A,1:A,,1
758,2:B,2:B,,1
759,2:B,2:B,,1
760,1:A,1:A,,1
761,2:B,2:B,,1
762,1:A,1:A,,1
763,1:A,1:A,,1
764,2:B,2:B,,1
765,2:B,2:B,,1
766,1:A,1:A,,1
767,1:A,1:A,,1
768,1:A,1:A,,1
769,2:B,2:B,,1
770,1:A,1:A,,1
771,2:B,2:B,,1
772,2:B,2:B,,1
773,1:A,2:B,+,1
774,1:A,2:B,+,1
775,2:B,2:B,,1
776,1:A,1:A,,1
777,2:B,2:B,,1
778,1:A,1:A,,1
779,1:A,1:A,,1
780,1:A,1:A,,1
781,1:A,1:A,,1
782,1:A,1:A,,1
783,2:B,2:B,,1
784,1:A,1:A,,1
785,1:A,2:B,+,1
786,1:A,1:A,,1
787,1:A,1:A,,1
788,1:A,1:A,,1
789,1:A,1:A,,1
790,2:B,2:B,,1
791,1:A,1:A,,1
792,1:A,1:A,,1
793,1:A,1:A,,1
794,1:A,1:A,,1
795,2:B,2:B,,1
796,2:B,2:B,,1
797,2:B,2:B,,1
798,2:B,2:B,,1
799,2:B,2:B,,1
800,1:A,1:A,,1
801,2:B,2:B,,1
802,1:A,1:A,,1
803,2:B,2:B,,1
804,1:A,1:A,,1
805,2:B,2:B,,1
806,2:B,2:B,,1
807,1:A,1:A,,1
808,2:B,2:B,,1
809,1:A,1:A,,1
810,1:A,1:A,,1
811,2:B,2:B,,1
812,1:A,1:A,,1
813,2:B,2:B,,1
814,2:B,2:B,,1
815,1:A,1:A,,1
816,2:B,2:B,,1
817,1:A,1:A,,1
818,2:B,2:B,,1
819,2:B,2:B,,1
820,1:A,1:A,,1
821,2:B,2:B,,1
822,2:B,2:B,,1
823,2:B,2:B,,1
824,2:B,2:B,,1
825,2:B,2:B,,1
826,2:B,2:B,,1
827,2:B,2:B,,1
828,1:A,1:A,,1
829,1:A,1:A,,1
830,1:A,1:A,,1
831,2:B,2:B,,1
832,2:B,2:B,,1
833,1:A,1:A,,1
834,2:B,2:B,,1
835,1:A,1:A,,1
836,1:A,1:A,,1
837,1:A,2:B,+,1
838,1:A,1:A,,1
839,1:A,1:A,,1
840,1:A,1:A,,1
841,1:A,2:B,+,1
842,1:A,1:A,,1
843,2:B,2:B,,1
844,1:A,1:A,,1
845,2:B,2:B,,1
846,1:A,1:A,,1
847,1:A,2:B,+,1
848,1:A,1:A,,1
849,1:A,1:A,,1
850,1:A,1:A,,1
851,1:A,1:A,,1
852,2:B,2:B,,1
853,2:B,2:B,,1
854,1:A,1:A,,1
855,2:B,2:B,,1
856,1:A,1:A,,1
857,2:B,2:B,,1
858,2:B,2:B,,1
859,2:B,2:B,,1
860,2:B,2:B,,1
861,1:A,1:A,,1
862,1:A,1:A,,1
863,2:B,2:B,,1
864,2:B,2:B,,1
865,1:A,1:A,,1
866,1:A,1:A,,1
867,1:A,1:A,,1
868,2:B,2:B,,1
869,1:A,1:A,,1
870,2:B,2:B,,1
871,1:A,1:A,,1
872,2:B,2:B,,1
873,2:B,2:B,,1
874,2:B,2:B,,1
875,1:A,1:A,,1
876,2:B,2:B,,1
877,1:A,1:A,,1
878,1:A,1:A,,1
879,1:A,1:A,,1
880,1:A,1:A,,1
881,2:B,2:B,,1
882,2:B,2:B,,1
883,2:B,2:B,,1
884,1:A,1:A,,1
885,1:A,1:A,,1
886,1:A,1:A,,1
887,1:A,1:A,,1
888,2:B,2:B,,1
889,1:A,1:A,,1
890,2:B,2:B,,1
891,2:B,2:B,,1
892,2:B,2:B,,1
893,1:A,1:A,,1
894,1:A,1:A,,1
895,1:A,1:A,,1
896,2:B,2:B,,1
897,1:A,2:B,+,1
898,1:A,1:A,,1
899,1:A,1:A,,1
900,2:B,2:B,,1
901,1:A,1:A,,1
902,2:B,2:B,,1
903,1:A,1:A,,1
904,2:B,2:B,,1
905,2:B,2:B,,1
906,2:B,2:B,,1
907,2:B,2:B,,1
908,2:B,2:B,,1
909,2:B,2:B,,1
910,2:B,2:B,,1
911,1:A,1:A,,1
912,1:A,1:A,,1
913,2:B,2:B,,1
914,1:A,1:A,,1
915,1:A,1:A,,1
916,2:B,2:B,,1
917,1:A,1:A,,1
918,2:B,2:B,,1
919,1:A,1:A,,1
920,2:B,2:B,,1
921,1:A,1:A,,1
922,1:A,1:A,,1
923,1:A,1:A,,1
924,2:B,2:B,,1
925,2:B,2:B,,1
926,2:B,2:B,,1
927,2:B,2:B,,1
928,2:B,2:B,,1
929,1:A,1:A,,1
930,1:A,1:A,,1
931,2:B,2:B,,1
932,1:A,1:A,,1
933,2:B,2:B,,1
934,1:A,1:A,,1
935,1:A,1:A,,1
936,2:B,2:B,,1
937,1:A,1:A,,1
938,1:A,1:A,,1
939,2:B,2:B,,1
940,1:A,1:A,,1
941,2:B,2:B,,1
942,2:B,2:B,,1
943,1:A,1:A,,1
944,2:B,2:B,,1
945,2:B,1:A,+,1
946,1:A,1:A,,1
947,1:A,1:A,,1
948,2:B,2:B,,1
949,1:A,1:A,,1
950,2:B,2:B,,1
951,1:A,1:A,,1
952,2:B,2:B,,1
953,2:B,2:B,,1
954,2:B,2:B,,1
955,1:A,1:A,,1
956,1:A,1:A,,1
957,2:B,2:B,,1
958,2:B,2:B,,1
959,1:A,1:A,,1
960,1:A,1:A,,1
961,2:B,2:B,,1
962,1:A,1:A,,1
963,2:B,2:B,,1
964,2:B,2:B,,1
965,1:A,1:A,,1
966,1:A,1:A,,1
967,2:B,2:B,,1
968,2:B,2:B,,1
969,2:B,2:B,,1
970,2:B,2:B,,1
971,2:B,2:B,,1
972,1:A,1:A,,1
973,2:B,2:B,,1
974,1:A,1:A,,1
975,2:B,2:B,,1
976,1:A,1:A,,1
977,1:A,1:A,,1
978,1:A,1:A,,1
979,2:B,2:B,,1
980,1:A,1:A,,1
981,1:A,1:A,,1
982,1:A,1:A,,1
983,1:A,1:A,,1
984,1:A,1:A,,1
985,1:A,1:A,,1
986,1:A,2:B,+,1
987,1:A,1:A,,1
988,1:A,1:A,,1
989,1:A,1:A,,1
990,1:A,1:A,,1
991,1:A,1:A,,1
992,2:B,2:B,,1
993,1:A,1:A,,1
994,1:A,1:A,,1
995,2:B,2:B,,1
996,2:B,2:B,,1
997,1:A,1:A,,1
998,1:A,1:A,,1
999,2:B,2:B,,1
1000,1:A,2:B,+,1
1001,1:A,1:A,,1
1002,2:B,1:A,+,1
1003,1:A,1:A,,1
1004,1:A,1:A,,1
1005,2:B,2:B,,1
1006,2:B,2:B,,1
1007,2:B,2:B,,1
1008,2:B,2:B,,1
1009,1:A,1:A,,1
