input1,input2,output
-0.896487,0.27871,B
0.30163,-0.113038,B
-0.168045,-0.153758,A
0.726689,-0.920502,B
0.24983,-0.801939,B
-0.998628,0.938486,A
-0.825183,0.885176,A
0.895467,-0.688925,A
0.136635,-0.471576,B
-0.330198,0.412126,B
0.53296,0.616735,A
-0.230761,0.174367,B
0.919608,0.953997,A
0.234879,-0.825911,A
0.649804,0.577073,A
-0.622075,-0.660826,B
0.752756,0.609332,A
-0.845375,0.105246,B
-0.764486,0.097088,B
0.974784,0.560126,A
-0.476393,0.7625,A
-0.714924,-0.916994,A
0.287402,0.525835,B
-0.422942,-0.813454,A
-0.209808,-0.353806,A
-0.104384,-0.310755,B
-0.05235,0.233065,A
-0.408142,0.348335,B
0.744538,0.12527,B
-0.27122,0.875939,A
-0.679487,0.238375,B
0.011295,0.143292,A
0.085067,-0.331836,B
-0.613345,0.396996,A
0.215084,0.344644,B
-0.408715,-0.241167,B
0.192954,-0.805361,B
0.444186,0.03741,B
0.2106,0.821748,A
-0.767878,0.034268,A
-0.3591,0.557624,B
0.14708,-0.969137,A
-0.345566,0.830952,A
-0.875041,-0.476388,A
-0.972358,-0.830691,A
-0.782822,0.504142,A
-0.743956,0.117784,A
-0.160113,0.300224,B
0.430377,0.773783,A
-0.631133,0.313116,A
-0.241751,-0.995458,A
-0.035145,0.389847,B
-0.926451,-0.747664,A
0.076359,0.293169,A
0.036731,0.504252,B
0.86165,0.996388,A
-0.136566,0.708959,B
-0.057776,-0.483155,B
0.132815,-0.792276,B
-0.220719,-0.734922,A
-0.205501,-0.129729,A
-0.90034,0.274177,A
-0.865693,0.952786,A
-0.676388,-0.641149,A
0.202826,-0.97102,A
0.737023,0.571304,A
0.879804,-0.578539,A
-0.667324,-0.069805,B
0.450724,-0.165039,B
0.846308,-0.102381,B
-0.421829,0.323035,B
-0.622779,-0.229001,A
0.154455,-0.577542,B
-0.773704,-0.270567,B
0.888399,0.873264,A
0.590868,0.191313,B
-0.237479,0.927178,A
-0.948735,-0.727252,A
0.037416,0.609972,B
0.658291,0.189438,B
-0.794443,-0.895386,A
-0.631326,0.600325,A
0.078056,0.144228,B
-0.084086,0.79912,A
0.179959,0.465226,B
0.207568,0.957122,A
0.366086,-0.449146,B
-0.320665,0.722089,A
-0.092109,0.551654,B
-0.537564,-0.60256,A
-0.03783,-0.746128,B
0.203064,-0.032413,A
-0.522807,-0.755403,B
-0.380884,-0.766079,A
0.632117,-0.46863,A
0.8057,-0.34512,B
-0.953336,0.457907,A
0.533736,0.758503,A
0.4741,-0.899665,A
-0.951097,0.805047,A
0.558101,0.194746,B
0.477265,0.545774,A
0.820688,-0.045914,B
-0.935096,0.155949,A
-0.646549,-0.947028,B
0.227238,0.40749,B
0.81246,-0.077983,A
-0.443297,0.00483,B
0.234867,-0.094018,B
-0.225204,0.150068,B
0.320418,0.447237,B
0.935349,0.505943,A
-0.955671,-0.028443,A
-0.031912,0.765222,A
-0.146524,-0.33313,A
0.160063,0.213684,B
0.448935,-0.573667,B
0.539989,0.09047,B
-0.138884,0.15766,B
0.446134,0.279375,B
-0.621016,0.614254,B
-0.690387,0.113072,B
0.173729,-0.960564,A
-0.437838,-0.73404,A
-0.829892,0.922666,A
0.461866,-0.512845,B
-0.329456,0.619482,A
-0.597563,-0.551922,B
0.786365,-0.332996,B
0.473573,0.767474,A
0.512885,0.765255,A
0.865329,-0.317229,A
0.51607,0.413822,B
0.395898,-0.091207,B
-0.198279,0.535766,B
0.239502,0.38946,B
0.081681,-0.819003,A
-0.3934,-0.667267,B
0.279956,0.565176,B
-0.88981,0.47805,A
-0.489712,0.139787,B
-0.624891,-0.366067,B
0.23403,-0.637411,B
0.55545,-0.7291,B
0.515684,0.136907,B
0.007889,-0.706974,B
0.678647,0.568996,B
-0.880008,0.964276,B
-0.247262,-0.421104,B
0.707759,-0.989978,B
-0.523129,0.047399,A
0.712892,-0.850203,A
-0.369728,-0.630803,B
0.007825,-0.51589,B
-0.412431,0.851934,A
0.801403,0.500241,A
-0.521367,-0.226299,A
-0.994286,0.71996,A
0.236929,0.008638,A
0.427456,0.001395,B
0.170272,-0.527175,B
0.489151,-0.864324,A
-0.467186,0.536529,B
0.2951,-0.043354,A
0.088418,-0.267089,A
-0.115934,-0.069255,A
0.886799,-0.119188,A
0.811273,0.564611,A
-0.631132,0.530034,B
0.053785,0.38783,B
0.121999,0.296783,B
0.206828,-0.075258,B
-0.575868,-0.881557,A
-0.560075,0.863311,A
-0.481906,0.755848,B
0.380602,0.667501,B
-0.750915,-0.120806,B
-0.473504,0.696685,A
0.715051,-0.454706,B
-0.678185,-0.313053,B
-0.790683,0.393455,B
-0.658163,0.211774,B
-0.110038,0.257201,A
0.89522,0.547263,A
0.992177,0.693265,A
0.086749,0.658821,B
0.663407,0.006705,B
0.048545,-0.614725,B
-0.761541,-0.019214,B
-0.350629,0.994997,A
-0.985436,0.789992,A
0.724621,-0.358701,A
-0.482878,-0.449181,B
-0.547633,-0.8693,A
0.887493,0.295368,B
-0.672725,-0.652175,A
0.283115,0.134223,B
0.983185,-0.474995,B
-0.023366,0.10891,A
-0.512361,0.878489,A
0.602311,-0.030984,B
0.959523,0.549699,A
-0.811964,-0.155565,B
-0.870523,0.962551,B
-0.163299,0.045006,A
0.718458,-0.470845,A
0.167998,-0.444874,A
0.213877,-0.074176,B
0.386197,0.738253,A
-0.333182,0.142621,A
-0.532831,-0.495844,B
-0.890043,-0.017257,A
0.04178,0.272611,B
-0.353162,0.878038,A
-0.448441,-0.520135,B
0.589196,-0.134191,B
-0.888695,0.899323,A
-0.621868,0.493931,A
-0.362024,-0.634132,B
0.638602,-0.589794,A
0.115139,-0.132415,B
0.696954,0.850228,A
0.451563,0.846336,A
-0.065858,0.308036,B
0.781549,0.028346,B
-0.072851,0.354372,B
-0.999541,-0.795947,A
0.520789,-0.624741,B
-0.079684,-0.677283,A
0.37462,0.194079,A
-0.746901,0.511098,B
-0.526152,-0.426562,B
-0.88879,-0.605056,A
0.976381,-0.330607,A
-0.727958,0.335626,A
-0.193385,-0.462716,B
-0.734296,0.960624,B
-0.874107,0.185662,A
-0.452994,-0.484036,B
0.283155,-0.290912,B
-0.723905,-0.93376,A
-0.202436,0.473617,A
-0.85771,0.14138,B
-0.759259,0.660573,A
-0.380206,0.091312,B
0.293549,0.41293,B
-0.182398,-0.08721,A
-0.838288,-0.395283,A
0.857575,-0.889815,A
-0.104154,0.701784,A
-0.724388,0.239603,B
0.715481,0.171813,B
-0.501595,-0.293585,B
0.252861,0.15137,B
0.773925,0.580139,A
0.661382,0.934192,A
-0.773791,-0.866504,A
-0.308972,-0.963631,A
0.966462,0.364828,A
0.598326,-0.770866,A
-0.027575,-0.633156,B
0.352569,-0.944685,A
0.216517,-0.798931,B
0.432516,-0.095125,A
0.078084,-0.521783,B
-0.636779,-0.983601,A
0.285115,0.501608,B
0.220334,-0.036725,B
0.656373,0.997047,A
-0.852036,0.507953,A
0.77282,-0.128874,A
0.310124,0.779388,A
0.994287,-0.80514,A
0.073738,-0.553508,B
0.771257,0.118925,A
0.960021,-0.867822,A
-0.340362,-0.626886,A
-0.324163,-0.867687,A
0.956654,0.324993,A
0.418994,0.648426,B
0.561945,0.16169,B
-0.66628,-0.872963,A
0.128339,0.367551,A
0.838734,-0.81956,A
0.483902,0.821342,A
0.003437,0.96614,A
0.918755,-0.827023,A
-0.567382,0.894916,A
-0.496455,0.514033,A
-0.281436,0.777822,A
0.098738,0.242902,B
-0.414399,-0.692714,A
0.394313,-0.437027,B
-0.230679,0.849155,A
-0.399999,-0.176085,B
0.706927,-0.673489,A
-0.026347,-0.585551,B
-0.165404,-0.226285,B
-0.199916,-0.885386,A
-0.897605,0.066278,A
0.416687,0.053704,A
-0.67846,0.390464,B
-0.312078,-0.690566,A
-0.894958,0.044218,B
0.167406,0.128988,A
-0.468483,0.6043,B
-0.941319,0.97835,A
-0.256928,0.72292,A
-0.386964,-0.69437,B
-0.712496,-0.950455,A
-0.045195,0.362735,B
0.859176,0.366259,A
-0.560776,0.81794,A
-0.743142,-0.042129,A
0.342062,-0.17214,B
0.201774,-0.19743,B
0.427074,-0.058383,B
-0.057312,0.560387,B
-0.947483,-0.528607,A
-0.527016,0.932954,A
0.006777,0.427368,B
-0.539776,-0.47881,B
-0.572097,-0.848676,A
-0.730672,-0.018462,A
-0.357261,-0.688527,B
0.766376,0.361459,A
-0.288852,-0.053433,B
0.291868,-0.064795,A
-0.023688,0.04977,B
0.24813,0.305535,B
-0.750737,0.137614,B
-0.444043,0.578815,A
0.661294,-0.557382,A
-0.233891,0.402453,B
0.047117,0.189103,A
-0.284028,-0.592731,B
-0.110878,-0.381251,B
0.386905,-0.804755,A
-0.187922,-0.44661,B
-0.78046,-0.544363,A
0.381719,-0.674253,B
0.190632,-0.61914,A
0.04899,0.089594,B
0.615518,0.543858,A
0.211782,0.795212,A
-0.33807,0.246538,B
-0.575237,0.768475,A
-0.812248,-0.405642,A
-0.066387,-0.507189,B
0.831603,-0.554897,A
0.877263,-0.903563,A
0.540338,-0.081294,B
-0.53742,-0.420858,B
0.424821,-0.268355,B
0.542907,-0.807046,B
-0.623295,-0.23833,B
-0.43123,0.012354,B
0.340276,0.032895,B
-0.771241,-0.172266,B
-0.231276,-0.390171,B
-0.514196,-0.665443,A
0.064138,-0.768496,B
-0.408627,0.014716,B
-0.180057,0.479207,B
0.038209,-0.096103,B
-0.616307,-0.556795,A
-0.427517,-0.422733,B
0.203011,0.525045,B
0.081915,-0.621275,B
0.455847,-0.096283,B
0.770278,-0.152109,A
0.505563,0.603357,B
-0.269387,-0.502548,B
0.047839,0.392048,B
0.290482,-0.374993,B
0.250871,0.501041,B
0.812862,0.699107,A
-0.892616,-0.47131,A
0.047128,0.08966,A
-0.653184,0.428703,B
0.213343,0.968324,A
0.567931,0.007619,A
0.325786,-0.287349,B
-0.85919,-0.526823,A
-0.352359,0.773151,A
-0.503609,-0.441145,B
-0.325904,0.738058,A
0.29207,-0.296992,B
-0.028221,0.064211,A
0.696575,-0.571528,A
-0.914346,0.071157,A
0.845655,0.978911,A
-0.498994,0.521997,B
0.295839,0.591342,A
-0.087665,-0.695076,A
-0.572325,0.567693,A
0.052981,0.899172,A
0.817623,-0.95081,A
-0.837782,-0.416359,A
0.156318,-0.486689,B
0.360198,-0.336659,B
0.406006,0.432008,B
-0.831838,-0.283887,B
0.278238,0.418127,B
-0.633066,0.04398,B
-0.03372,0.195713,A
-0.952698,0.388399,A
0.974604,0.034242,A
-0.145548,0.67763,B
-0.677684,-0.081258,A
0.259765,0.585958,B
0.985807,0.159205,A
0.234108,0.645635,B
0.18688,-0.164582,A
0.495369,-0.849089,A
0.060131,-0.795833,B
0.253836,-0.776827,A
-0.609904,-0.625629,A
0.352606,-0.084294,B
0.616562,0.419928,B
-0.568001,0.5046,A
0.25507,-0.692293,B
0.228966,0.608966,A
0.700411,-0.70785,A
-0.881587,0.717226,A
-0.03176,-0.889377,A
0.085023,-0.475249,B
0.870775,-0.819064,A
-0.573477,-0.895803,A
0.080104,0.77061,B
0.371904,0.96882,A
0.350761,-0.155623,B
0.618732,-0.352764,A
-0.173455,0.70275,A
-0.327205,-0.1291,B
-0.801543,0.57845,A
-0.660658,-0.756405,A
0.605989,-0.771633,B
-0.753109,-0.598311,A
0.314069,0.962068,A
-0.855997,-0.632181,B
-0.129782,0.377197,B
0.578812,0.489915,A
0.385332,0.797765,A
0.633365,-0.103056,B
0.785665,0.680951,A
0.766454,-0.326688,A
0.843796,0.464022,B
0.681109,0.980113,A
0.947816,0.094745,A
0.945562,0.555545,B
0.652665,-0.804195,A
0.413184,0.826911,B
-0.205801,-0.024434,B
0.149118,-0.440821,B
0.451991,-0.497967,A
-0.255131,0.216005,B
-0.920962,0.658862,A
-0.002851,0.376017,B
-0.476029,-0.138966,B
-0.730905,-0.227304,A
0.873869,0.83196,B
-0.118134,0.88431,A
-0.009931,0.759777,B
-0.383798,0.629801,B
-0.766633,0.862949,A
-0.618533,-0.3423,B
-0.322493,0.961703,A
-0.341827,0.629903,B
0.825821,-0.640661,A
-0.135906,0.635452,B
0.337727,0.889031,A
-0.322495,-0.585649,A
0.135078,0.56164,B
0.934211,0.425535,A
0.300309,-0.468561,A
-0.058673,0.664611,B
-0.978351,-0.403371,A
0.641438,-0.067047,B
-0.439306,-0.848722,A
0.562405,-0.453964,B
0.921883,0.246397,A
0.747833,-0.861698,A
-0.493071,-0.442201,B
-0.933039,0.596591,A
0.443724,-0.98843,A
0.222024,0.154608,B
0.826849,0.878422,A
-0.854705,-0.62267,A
0.289328,0.064774,B
-0.312713,-0.334778,B
-0.672032,0.847802,A
-0.717025,0.796102,A
0.446848,-0.674708,A
0.158585,-0.308582,A
-0.816895,-0.969671,A
-0.116568,-0.796691,B
0.449916,0.404,B
-0.790602,0.135632,B
0.9919,0.616957,A
0.175328,0.677779,B
0.550555,-0.644109,B
-0.117504,0.714795,B
-0.45056,0.663513,B
-0.738851,-0.500239,A
-0.96568,0.923446,B
0.958039,-0.717119,A
0.78782,0.995775,A
0.608341,-0.820206,A
-0.001128,0.851079,B
0.825388,0.096861,A
0.657417,0.903138,A
0.669918,-0.207226,A
0.441097,0.342362,B
0.435951,0.514886,B
0.802609,-0.223387,B
-0.58978,-0.632806,B
0.393136,-0.804854,A
0.995364,0.879002,A
-0.530087,-0.331079,B
0.334866,-0.223115,B
-0.74363,0.269169,A
0.583627,-0.913637,A
0.64785,-0.223909,B
-0.153663,0.795792,A
-0.453334,0.717449,B
-0.881317,0.992463,A
0.346553,0.38804,B
-0.112465,-0.742493,B
-0.209057,-0.192313,B
-0.699716,-0.186286,B
0.799906,-0.357365,A
-0.982041,-0.898034,A
-0.843274,-0.167355,B
0.659211,0.451635,B
-0.921997,-0.899291,A
0.5655,-0.163988,B
0.387409,0.086614,B
-0.425559,-0.701731,A
0.759656,-0.486863,A
0.187292,0.811571,B
0.383789,0.298501,B
-0.330938,0.216383,B
0.627374,-0.58213,A
0.917471,0.959176,A
-0.081716,-0.510118,B
0.519184,0.509376,B
0.940298,-0.240848,A
0.417061,0.112836,B
0.31538,0.564819,A
-0.411236,0.5262,B
0.68205,-0.59409,A
-0.759626,0.167313,B
0.118064,0.615013,B
-0.552229,0.779432,A
-0.286463,0.12753,B
0.173702,-0.939395,A
0.045427,0.508471,B
-0.927475,0.850074,B
0.19061,0.840722,A
-0.395588,0.256775,B
-0.522429,-0.217945,B
-0.737119,-0.313826,A
0.446971,-0.084288,A
-0.816812,-0.595965,A
-0.803287,0.71033,A
-0.058029,0.441436,B
-0.845722,0.356234,A
0.815779,-0.771244,A
0.792737,-0.353182,A
0.344946,0.28236,B
-0.444654,0.650536,B
-0.660613,-0.729086,A
0.286656,0.502176,B
-0.4558,0.638285,A
0.57966,0.300246,A
-0.028069,0.605954,B
0.902442,-0.640454,A
-0.878701,0.402415,A
0.350469,0.772171,B
0.001097,-0.313018,B
-0.379358,-0.958423,A
0.184519,0.714609,B
0.112185,-0.746044,B
0.219507,0.13684,B
-0.669774,0.015194,B
-0.802044,0.14546,B
0.335902,0.369512,B
0.707956,-0.453705,B
-0.626626,-0.571191,B
0.237082,0.830228,A
0.944443,-0.77804,A
-0.053409,0.948951,A
0.329734,0.408386,B
0.647411,-0.100838,B
0.371697,-0.986503,A
-0.359049,0.619148,A
0.549804,0.758638,A
0.93258,-0.291965,B
-0.634512,0.299062,A
-0.751077,0.488821,A
-0.805107,0.434886,A
-0.885285,-0.184394,A
-0.911892,-0.738864,A
0.931604,0.338086,A
0.96204,0.461113,A
-0.833354,-0.772094,A
0.975273,-0.564214,A
0.852275,0.118629,A
0.451199,-0.775171,A
0.501018,0.450941,B
-0.079097,-0.09724,A
0.630761,0.189906,B
-0.094045,-0.033952,B
0.094785,-0.24338,B
-0.4565,0.030852,B
0.123092,-0.02744,B
0.722458,-0.384729,B
-0.900897,0.193824,A
0.908521,-0.432533,A
0.890902,-0.77876,A
-0.948642,0.44978,A
0.717958,-0.386569,A
0.963614,0.468867,A
-0.151003,0.410492,B
0.657995,0.083476,A
-0.954635,-0.769742,A
-0.076307,0.618818,A
0.67347,0.137905,A
-0.997268,0.028384,A
-0.090456,0.536172,B
0.565512,0.194879,A
0.758926,0.445567,A
0.130672,-0.091562,A
0.51361,0.129681,B
-0.040159,0.405024,B
-0.833292,0.030492,B
-0.248657,0.827064,B
-0.391491,0.920544,A
-0.014834,-0.695195,A
0.996931,-0.145813,A
0.503923,-0.884368,A
0.837489,0.732306,A
-0.823768,-0.387787,B
-0.88686,-0.655265,A
-0.123285,0.307385,A
0.809274,0.260869,A
0.725987,0.530106,B
0.120582,0.024017,A
-0.435357,-0.25204,B
0.172125,0.508361,B
0.706734,-0.826445,A
0.801188,-0.760285,A
0.632162,0.320251,A
-0.584709,0.491408,B
0.693104,-0.24908,B
-0.7136,-0.035699,B
-0.605964,-0.90554,A
-0.848156,0.508465,A
-0.760105,-0.852349,A
0.977722,-0.416112,A
-0.331064,0.745545,B
0.922356,-0.123119,A
0.216518,0.202949,B
0.780664,-0.150335,B
0.468577,-0.959215,A
-0.571159,-0.87643,A
-0.577172,0.250442,B
-0.624215,-0.045283,B
0.941336,0.298352,A
0.774293,-0.688572,A
-0.48635,-0.059017,B
-0.925346,0.893145,A
0.847836,-0.040591,A
-0.594426,-0.788968,A
0.526948,0.66383,A
-0.646051,0.679859,A
-0.786097,-0.783627,A
-0.222905,-0.949141,A
0.426738,0.814038,A
-0.595248,0.336456,B
-0.816088,-0.416525,B
0.512387,-0.551439,A
0.340164,0.337032,B
0.193219,0.680012,A
0.327205,-0.870804,A
-0.883569,0.749323,B
0.40768,0.289005,B
0.901134,0.049754,A
0.838402,-0.19411,A
-0.257712,-0.074919,B
-0.86346,-0.99759,A
-0.677645,0.633429,A
0.729097,-0.903185,A
-0.887324,-0.428309,A
-0.228359,0.82978,A
0.121075,-0.672956,A
0.214576,0.387305,B
-0.94871,-0.857748,A
-0.410684,-0.681603,B
-0.723803,0.470026,A
-0.479529,0.712969,A
-0.715153,0.511035,A
0.102495,-0.874765,A
-0.277735,0.53731,B
-0.420336,0.737242,A
0.589742,0.85682,A
0.8681,-0.262759,A
0.734899,-0.687775,A
-0.958182,0.719591,A
-0.770732,-0.020187,B
-0.535052,0.327353,B
0.619922,-0.649278,B
0.044696,-0.697082,A
-0.226324,-0.385086,B
0.930281,-0.624996,A
-0.562546,0.443168,B
-0.401219,0.703409,B
-0.586325,0.189645,B
-0.508166,0.572755,B
-0.599376,-0.983416,A
-0.775674,0.504059,A
-0.418975,0.531061,B
-0.674987,0.769499,A
-0.262936,0.78612,A
-0.57296,-0.414939,B
-0.78865,0.845523,B
-0.661731,0.682075,A
0.426258,0.034964,B
0.44718,0.116762,A
-0.691861,-0.011569,B
0.194269,0.018312,B
-0.879515,0.237738,B
-0.776549,0.472147,B
-0.693898,-0.721874,A
0.739498,0.704433,A
0.613789,0.146448,B
0.870031,0.922087,A
-0.409991,-0.145378,A
-0.322741,-0.845294,A
-0.906428,0.859455,A
-0.546394,-0.133221,B
-0.523653,-0.514113,B
0.66509,-0.230696,B
0.292054,0.793869,A
-0.47685,-0.662704,B
0.923898,0.956389,B
0.779403,-0.453278,A
-0.063093,0.298227,A
-0.788522,-0.5184,A
0.968198,0.256073,A
0.633015,0.674552,A
0.786058,-0.640343,A
-0.261627,-0.420833,B
0.366249,0.812849,A
0.270167,0.186436,B
-0.694616,-0.457099,A
-0.335329,-0.431341,A
-0.009293,0.744801,B
-0.231313,0.452517,B
-0.546771,-0.844406,A
-0.238474,0.592121,A
0.761198,0.075575,A
-0.319669,-0.977519,A
0.727101,-0.621201,A
0.246162,0.899531,A
-0.33256,0.763909,A
0.834441,0.812877,A
0.145772,0.956535,B
-0.576831,-0.292621,B
0.204059,0.870473,A
0.437807,-0.838707,A
-0.245916,-0.633282,B
0.949579,-0.525609,A
0.016642,-0.313406,A
0.46293,-0.256797,B
0.472896,0.48876,A
-0.691762,0.123368,B
-0.465676,0.442666,B
0.860091,-0.347347,A
-0.359457,-0.363027,B
-0.700745,-0.716726,A
-0.191168,0.483338,B
-0.073321,0.454876,B
0.154334,0.207531,B
-0.367482,0.42196,B
0.830663,0.970621,A
-0.228933,0.612437,B
0.815612,0.932321,A
0.634523,0.618797,B
0.115016,-0.945936,A
-0.584013,-0.317823,B
-0.261169,-0.161691,A
0.840505,-0.537715,A
-0.439394,-0.272037,B
0.18327,0.191134,B
0.539463,0.13388,B
0.65567,0.499203,A
0.278113,0.985404,A
0.22362,-0.702837,A
0.710387,-0.942094,A
-0.196251,0.134113,A
0.749733,0.747936,A
0.077919,0.421448,B
0.745066,-0.987444,A
0.636627,-0.705834,A
0.228982,0.121651,B
0.834421,-0.08628,B
-0.558477,0.875337,A
-0.166244,0.492236,B
-0.986079,0.832883,A
0.412011,-0.731995,A
0.269387,-0.580847,B
-0.06993,-0.502921,B
0.607828,-0.018792,B
0.56737,-0.344603,B
0.194326,-0.743295,A
0.543671,-0.228768,B
-0.798979,0.009241,B
0.484079,0.56875,A
-0.623188,-0.926423,A
0.637965,0.000381,B
-0.51677,0.32385,B
-0.842146,0.673988,A
-0.03281,0.447165,B
-0.187071,0.281924,A
-0.167035,0.311582,B
-0.839333,0.579806,A
-0.453753,-0.115438,B
-0.447451,0.783962,B
0.129847,0.887599,B
-0.723111,-0.100377,A
-0.25929,0.855734,A
0.495038,0.418581,B
0.223763,0.866293,B
-0.327392,0.216024,B
-0.29396,-0.770808,A
0.733859,0.25111,B
-0.736091,-0.53469,A
-0.10279,0.413249,B
0.720371,-0.016932,B
0.404853,0.897971,A
0.256927,-0.898288,A
0.517119,-0.002061,B
0.82237,-0.645623,A
-0.546092,-0.232993,B
-0.375762,-0.428937,B
0.485979,0.779369,A
-0.14279,0.911054,A
-0.456525,-0.40546,A
-0.189944,0.197843,A
-0.651984,0.482527,A
0.9151,0.014745,A
0.142359,-0.39112,A
-0.717843,0.047219,A
0.189404,-0.989162,A
0.747571,-0.307063,A
0.669432,0.849182,A
-0.883453,-0.790719,B
0.393289,-0.467292,B
0.730055,0.571573,B
-0.343275,-0.974617,A
0.827726,-0.542087,A
-0.994643,-0.620899,A
0.63341,-0.881754,B
-0.219909,0.393119,B
0.965868,0.837551,A
0.806283,0.038148,A
0.32346,0.003561,B
-0.331647,0.837179,A
-0.654791,0.229661,B
-0.10754,-0.444868,B
0.681906,0.094984,A
0.464773,0.286463,A
0.157468,-0.873304,A
0.29367,0.242263,B
0.85719,0.575789,A
0.956648,0.076001,A
0.428719,0.631772,B
